	ヶ
run-batted-in	タイムリ
run-through	ランスル
runaway	ランナウェー
runner	ランナー
running	ランニング
runt	チビ
runtime	ランタイム
runway	ランウエー
rupee	ルピー
rupiah	ルピア
rural	ルーラル
rurban	ラーバン
rush	ラッシュ
rusher	ラッシャー
rusk	ラスク
rustle	カサカサ
ruthenium	ルテニウム
rutherfordium	ラザホージウム
rutin	ルチン
rye	ライ
saber	サーブル
sable	クロテン
sabotage	サボ
sabre	サーブル
saccharase	サッカラーゼ
saccharimeter	サッカリメーター
saccharin	サッカリン
saccharose	サッカロース
sack	サック
sacrament	サクラメント
sacrifice	サクリファイス
sad	ブルー
saddle	サドル
sadism	サディズム
sadist	サディスト
sadistic	サディスティック
sado-masochism	エスエム
sadomasochism	サドマゾ
sadomasochist	サドマゾヒスト
safari	サファリ
safe	セーフ
safeguard	セーフガード
safelight	セーフライト
safety	セーフティー
safflower	サフラワー
saffron	サフラン
saga	サーガ
sage	サルビア
sahel	サバナ
sailer	セイラー
sailing	セイリング
sailor	セーラー
sailplane	ソアラ
saint	サン
saintpaulia	セントポーリア
salad	サラダ
salad-bowl	サラダボール
salamander	アブラメ
salami	サラミ
salary	サラ
salaryman	サラ
sale	セール
sales	セールス
salesman	セールスマン
salicylic	サリチル
salithion	サリチオン
salmon	サーモン
salon	サロン
saloon	サルーン
salp	サルパ
salpa	サルパ
salpian	サルパ
salsa	サルサ
salt	ソルト
salvage	サルベージ
salvia	サルビア
samarium	サマリウム
samba	サンバ
sambar	サンバー
samosa	サモサ
samovar	サモワール
sample	サンプル
sampler	サンプラ
sampling	サンプリング
sanatorium	サナトリウム
sanction	サンクション
sanctuary	サンクチュアリ
sand	サンド
sandal	サンダル
sandbag	サンドバッグ
sandblast	サンドブラスト
sandbox	サンドボックス
sandpaper	サンドペーパー
sandpiper	シギ
sandstone	サンドストーン
sandstorm	サンドストーム
sandwich	サンド
sangria	サングリア
sanitary	サニタリー
sans-souci	サンスーシ
sansa	サンザ
sanseveria	サンセベーリア
sansevieria	サンセベーリア
santonin	サントニン
sanukite	サヌカイト
sapience	サピエンス
sapodilla	サポジラ
sapphire	サファイア
sapphism	サッフィズム
saraband	サラバンド
sarabande	サラバンド
sarafan	サラファン
sarangi	サーランギ
sarcoidosis	サルコイドーシス
sardana	サルダーナ
sardine	サージン
sardonyx	サードニックス
sari	サリー
sarong	サロン
saros	サロス
sarracenia	サラセニア
sarsaparilla	サルサ
sasanqua	サザンカ
sash	サッシ
sassafras	サッサフラス
satellite	サテライト
satin	サテン
satire	サタイア
satisfaction	サティスファクション
satyr	サテュロス
satyrid	ジャノメチョウ
sauce	ソース
saucepan	ソースパン
saucer	ソーサー
sauerkraut	ザウアークラウト
sauna	サウナ
saung	サウン
sausage	ソーセージ
saute	ソテー
sautoir	ソトワール
savanna	サバナ
savarin	サバラン
save	セーブ
saveloy	サビロイ
saving	セービング
savory	セイボリー
savoury	セボリー
sax	サックス
saxhorn	サクスホルン
saxitoxin	サキシトキシン
saxophone	サキソフォン
scab	スキャッブ
scalability	スケーラビリティ
scalable	スケーラブル
scalar	スカラ
scale	スケール
scale-out	スケールアウト
scale-up	スケールアップ
scaling	スケーリング
scallop	スカラップ
scalpel	メス
scampi	スカンピ
scan	スキャン
scandal	スキャンダル
scandalous	スキャンダラス
scandium	スカンジウム
scanner	スキャナ
scanning	スキャニング
scanties	スキャンティー
scapegoat	スケープゴート
scapegoating	スケープゴーティング
scapolite	スカポライト
scarab	スカラブ
scarabeid	スカラベ
scarf	スカーフ
scarification	スカリフィケーション
scarlet	スカーレット
scat	スキャット
scatology	スカトロ
scattering	チラシ
scenario	シナリオ
scene	シーン
sceptic	スケプチック
scepticism	スケプチシズム
schedule	スケジュール
scheduler	スケジューラ
scheduling	スケジューリング
schema	シェーマ
scheme	シェーマ
scherzo	スケルツォ
schilling	シリング
schizo	スキゾ
schizomid	ヤイトムシ
schizophrenia	スキゾフレニア
schnauzer	シュナウツァー
scholarship	スカラーシップ
school	オープンスクール
schoolboy	スクールボーイ
schoolgirl	スクールガール
schooling	スクーリング
schoolmate	スクールメイト
schooner	スクーナー
schrund	シュルント
science	サイエンス
scientific	サイエンティフィック
scientist	サイエンティスト
scientology	サイエントロジー
scilla	シラー
scintigram	シンチグラム
scintillation	シンチレーション
scintillator	シンチレーター
scissors	シザース
scone	スコーン
scoop	スクープ
scooter	スクーター
scope	スコープ
scoping	スコーピング
scopophilia	スコボフィリア
score	スコア
scoreboard	スコアボード
scorebook	スコアブック
scorecard	スコアカード
scorer	スコアラー
scoria	スコリア
scorpionfly	シリアゲムシ
scotophobin	スコトフォビン
scout	スカウト
scramble	スクランブル
scrambler	スクランブラー
scramjet	スクラムジェット
scrap	スクラップ
scrapbook	スクラップブック
scraper	スクレイパー
scrapie	スクレイピー
scraping	ケレン
scratch	スクラッチ
scratchpad	スクラッチパッド
scream	キャッ
screamer	スクリーマー
screen	スクリーン
screening	スクリーニング
screenshot	スクショ
screentone	スクリーントーン
screw	スクリュー
screwball	シュートボール
screwdriver	スクリュードライバー
scrim	スクリム
scrimmage	スクリメージ
script	スクリプト
scripter	スクリプター
scroll	スクロール
scrolling	スクローリング
scrub	スクラブ
scrubbing	ゴシゴシ
scrum	スクラム
scrummage	スクラメージ
scrunchie	シュシュ
scruple	スクループル
scuba	スキューバ
scull	スカル
sculpin	カジカ
sculpture	スカルプチャー
scupper	スカッパー
sea	シー
sea-lane	シーレーン
sea-lavender	スターチス
seaborgium	シーボーギウム
seafood	シーフード
seagull	カモメ
seahorse	シーホース
seajack	シージャック
seal	シール
sealing	シーリング
sealskin	シールスキン
seamless	サンクチュール
search	サーチ
searcher	サーチャー
searchlight	サーチライト
seasickness	シーシック
seaside	シーサイド
season	クール
seasonality	シーズナリティ
seasoning	シーズニング
seat	シート
seatbelt	シートベルト
secant	セカント
secession	セセッション
second	セカンド
secondary	セカンダリ
secondhand	セカンドハンド
secret	コツ
secretary	セクレタリー
secretin	セクレチン
sect	セクト
section	セクション
sectionalism	セクショナリズム
sectioning	セクショニング
sector	セクタ
secure	セキュア
securitization	セキュリタイゼーション
security	セキュリティ
sedan	セダン
sediment	セジメント
see-through	シースルー
seed	ザーメン
seeds	シーズ
seeing	シーイング
seek	シーク
seeker	シーカー
seersucker	サッカー
seesaw	シーソー
segment	セグメント
segmentation	セグメンテーション
segue	セグエ
select	セレクト
selecting	セレクティング
selection	セレクション
selector	セレクタ
selegiline	セレギリン
selenium	セレニウム
self	セルフ
self-care	セルフケア
self-challenge	チャレンジ
self-checking	セルフチェッキング
self-control	セルフコントロール
self-defence	サンボ
self-esteem	セルフエスティーム
self-image	セルフイメージ
self-inking	シャチハタ
self-locking	オートロック
self-medication	セルフメディケーション
self-monitoring	セルフモニタリング
self-satisfaction	ジコマン
self-service	セルフサービス
self-timer	セルフタイマー
selfishness	ガリガリ
seller	セラー
selvage	セルビッチ
semantic	セマンティック
semantics	セマンティクス
semaphore	セマフォ
semen	カルピス
semi-documentary	セミドキュメンタリー
semi-nude	セミヌード
semi-steel	セミスチール
semi-tight	セミタイト
semicolon	セミコロン
semiconductor	セミコンダクタ
semifinals	セミファイナル
semiformal	セミフォーマル
seminar	ゼミ
seminary	セミナリー
semiology	セミオロジー
semiprofessional	セミプロ
semolina	セモリナ
send	センド
senega	セネガ
senior	シニア
seniority	シニオリティー
senor	セニョール
sensation	センセーション
sensational	センセーショナル
sensationalism	センセーショナリズム
sensibility	センシビリティー
sensible	センシブル
sensitive	センシティブ
sensitometry	センシトメトリー
sensor	センサ
sensual	センシュアル
sensualism	センシュアリズム
sentence	センテンス
sentiment	センチメント
sentimental	センチ
sentimentalism	センチメンタリズム
sentimentalist	センチメンタリスト
separate	セパレイト
separates	セパレーツ
separator	セパレータ
sepia	セピア
sequence	シークェンス
sequencer	シーケンサ
sequential	シーケンシャル
sequoia	セコイア
sera	セラ
seraphim	セラピム
serenade	セレナーデ
serenata	セレナータ
serendipity	セレンディピティ
serenian	カイギュウ
serge	サージ
sergeant	サージャント
serial	シリアル
serialise	シリアライズ
serialize	シリアライズ
serializer	ダイナミサイザ
sericin	セリシン
series	シーリーズ
serif	セリフ
serine	セリン
serious	シリアス
serotonin	セロトニン
serow	カモシカ
serrated	ギザギザ
serration	セレーション
serval	サーバル
servant	サーバント
serve	サーブ
server	サーバ
service	サーヴィス
serviceman	サービスマン
servlet	サーブレット
servo	サーボ
servo-brake	サーボブレーキ
servomotor	サーボモーター
sesame	セサミ
session	セション
set	セット
set-back	セットバック
set-top	セットトップ
setter	セッター
setting	セッティング
settlement	セッツルメント
setup	セットアップ
setup.exe	セットアップエグゼ
seven	セブン
seventeen	セヴンティーン
severe	クソミソ
sewing	ソーイング
sexism	セクシズム
sexist	セクシスト
sextant	セキスタント
sextet	セクステット
sextette	セクステット
sexual	セクシャル
sexuality	セクシャリティ
sexy	エッチ
sforzando	スフォルツァンド
sforzato	スフォルツァンド
shabbiness	シャビー
shabby	シャビー
shaddock	ザボン
shade	シェイド
shading	シェーディング
shadow	シャドウ
shadowboxing	シャドーボクシング
shadowing	シャドゥイング
shaft	シャフト
shaggy	シャギー
shaheed	シャヒード
shahid	シャヒード
shake	シェイク
shaker	シェーカー
shaking	ブルブル
shallot	エシャレット
shalwar	シャルワール
shaman	シャーマン
shamanism	シャーマニズム
shampoo	シャンプー
shank	シャンク
shaoxingjiu	シャオシンチュー
shape	カッコ
shape-up	シェイプアップ
shaper	シェイパ
shaping	シェイピング
share	シェア
share-house	シェアハウス
shared	シェアード
shareware	シェアウェア
sharia	シャリーア
shariah	シャリーア
shariat	シャリーア
sharing	シェアリング
shark	シャーク
sharp	シャープ
sharpener	シャープナー
sharply	スカスカ
shaver	シェーバー
shaving	シェービング
shawl	ショール
shawm	ショーム
shear	シヤー
shearing	シャリング
sheath	シース
sheep	シープ
sheet	シーツ
sheeting	シーチング
shekwasha	シークヮーサー
shelf	シェルフ
shell	コキール
shell-script	シェルスクリプト
shellac	シェラック
shelter	シェルター
shelving	オクラ
shepherd	シェパード
sherbet	シャーベット
sheriff	シェリフ
sherry	シェリー
shield	シールド
shift	シフト
shilling	シリング
shim	シム
shining	シャイニング
ship	シップ
shipworm	フナクイムシ
shirasu	シラス
shiroonitake	シロオニタケ
shirring	シャーリング
shirt	シャツ
shirtwaist	シャツブラウス
shish-kebabs	シシカバブ
shit	チェ
shock	ギョッ
shocker	ショッカー
shocking	ショッキング
shockwave	ショックウェイブ
shoehorn	シューホーン
shoes	シューズ
shoeshine	シューシャイン
shoetree	シューツリー
shofar	ショーファー
shoot	シュート
shooter	シューター
shop	ショップ
shopgirl	ショップガール
shoplifter	ルパン
shoplifting	ルパン
shopping	ショッピッング
shoran	ショーラン
shordarvision	ショーダービジョン
short	ショート
short-scale	ショートスケール
shortbread	サブレ
shortcake	ショートケーキ
shortening	ショートニング
shorthand	ショートハンド
shortly	プチッ
shorts	ショーツ
shortstop	ショートストップ
shot	ショット
shotgun	ショットガン
shoulder	ショルダー
shovel	シャベル
show	ショウ
showboat	ショーボート
showcase	ショーケース
shower	シャワー
showman	ショーマン
showmanship	ショーマンシップ
showroom	アンテナショップ
shredder	シュレッダ
shrew	ジネズミ
shriek	キャッ
shrike	モズ
shrimp	エビ
shuffle	シャッフル
shuffling	シャッフリング
shunt	シャント
shut	シャット
shutdown	シャットダウン
shutout	シャットアウト
shutter	シャッター
shuttle	シャットル
shuttlecock	シャトルコック
shy	シャイ
si	シ
sialon	サイアロン
siamang	フクロテナガザル
siccative	シッカチーフ
sick	シック
sicklepod	エビスグサ
side	サイド
side-out	サイドアウト
side-thruster	サイドスラスター
sidebar	サイドバ
sideboards	サイドボード
sidecar	サイドカー
sideforce	サイドフォース
sideline	サイドライン
siderolite	シデロライト
siderostat	シデロスタット
sideslip	サイドスリップ
sidestroke	サイドストローク
sidewalk	サイドウォーク
sidewinder	サイドワインダー
siding	サイディング
siesta	シエスタ
sievert	シーベルト
sigh	アイゴー
sight	サイト
sightseeing	サイトシーイング
sigma	シグマ
sign	サイン
sign-in	サインイン
signage	ポップ
signal	シグナル
signalling	シグナリング
signature	サイン
signboard	サインボード
signifiant	シニフィアン
signifie	シニフィエ
signified	シニフィエ
signifier	シニフィアン
silage	サイレージ
silane	シラン
silence	サイレンス
silencer	サイレンサー
silent	サイレント
silently	シーン
silhouette	シルエット
silhouetter	シルエッター
silica	シリカ
silicon	シリコン
silicone	シリコーン
silk	シルク
silkworm	カイコ
silky	シルキー
sillago	キス
silo	サイロ
silt	シルト
silver	シルバー
silverberry	グミ
silverfish	セイヨウシミ
simile	シミリ
simoon	シムーン
simple	シンプル
simpleton	アホ
simplex	シンプレックス
simplicity	シンプリシティー
simplify	シンプリファイ
simulate	シミュレート
simulation	シミュレーション
simulator	シミュレータ
simulcast	サイマルキャスト
sincere	シンシア
sine	サイン
singer	シンガー
singer-songwriter	シンガーソングライター
single	シングル
single-just-low	シングルジャストロー
single-seater	シングルシーター
single-session	シングルセッション
single-track	シングルトラック
singles	シングルス
singlet	ジバン
singularity	シンギュラリティー
sink	シンク
sinker	シンカー
sinusoid	シヌソイド
siphon	サイフォン
siren	サイレン
sirloin	サーロイン
sirocco	シロッコ
sisal	サイザル
sissy	シスターボーイ
sister	シス
sit-in	シットイン
sitar	シタール
sitcom	シトコム
site	サイト
situation	シチュエーション
six	シックス
sixty	シックスティ
sixty-nine	ムクドリ
size	サイズ
sizing	サイジング
sizzle	シズル
sjis	エスジス
ska	スカ
skate	ガンギエイ
skateboard	スケートボード
skateboarding	スケートボーディング
skater	スケーター
skates	スケート
skating	スケーティング
skeleton	スケルトン
skeptic	スケプチック
skepticism	スケプチシズム
sketch	エスキス
sketchbook	スケッチブック
skew	スキュー
ski	スキー
ski-wear	スキーウエア
skier	スキーヤー
skiing	スキー
skill	コツ
skillet	スキレット
skillful	スキルフル
skimmer	スキマー
skimming	スキミング
skin	スキン
skinhead	スキンヘッド
skinheads	スキンヘッズ
skinny	スキニー
skip	スキップ
skipjack	コメツキムシ
skipper	スキッパー
skirt	スカート
skirt-chaser	ヒヒ
skis	スキー
skit	ショートコント
skunk	スカンク
sky	スカイ
sky-hook	スカイフック
sky-laboratory	スカイラブ
skydiver	スカイダイバー
skydiving	スカイダイビング
skyhook	スカイフック
skyjack	スカイジャック
skyjacker	スカイジャッカー
skylark	スカイラーク
skylight	スカイライト
skyline	スカイライン
skyscraper	スカイスクレーパー
skywriting	スカイライティング
slab	スラブ
slack	スラック
slacks	スラックス
slag	スラグ
slaking	スレーキング
slalom	スラローム
slam	スラム
slang	スラング
slap-skate	スラップスケート
slapstick	スラップスティック
slate	スレート
slave	スレイヴ
slayer	スレイヤー
sledge	リュージュ
sleek	スレーキ
sleep	スリープ
sleeve	スリーヴ
sleeve-hole	アームホール
slender	スレンダー
slice	スライス
slicer	スライサー
slicker	スリッカー
slide	スライド
slider	スライダ
slider-memory	スライダーメモリ
sliding	スライディング
slim	スマート
slime	スライム
slimmer	スリーマー
slip	スリップ
slip-on	スリップオン
slipper	スリッパ
slippers	スリッパ
slipshod	ズボラ
slipstream	スリップストリーム
slit	スリット
sliver	スライバー
slogan	スローガン
sloop	スループ
slope	スロープ
sloppy	アバウト
slot	スロット
slotter	スロッター
slovenly	ズボラ
slow	スロー
slow-motion	スローモーション
slowball	スローボール
slowdown	スローダウン
slowly	ボチボチ
sludge	スラッジ
slug	スラッグ
slugger	スラッガー
slum	スラム
slump	スランプ
slumpflation	スランプフレーション
slumping	ガクッ
slur	スラー
slurry	スラリー
slut	ヤリマン
smack	スマック
small	プチ
smart	スマート
smash	スマッシュ
smashing	スマッシング
smear	スミアー
smectic	スメクチック
smegma	スメグマ
smellovision	スメロビジョン
smile	スマイル
smiley	スマイリー
smock	スモック
smocking	スモッキング
smog	スモッグ
smoke	スモーク
smoker	スモーカー
smoking	スモーキング
smooth	スムース
smoothie	スムージー
smoothing	スムージング
smoothly	スイスイ
smorgasbord	スモーガスボード
snack	スナック
snail	エスカルゴ
snake	スネーク
snakeskin	スネークスキン
snakewood	スネークウッド
snap	スナップ
snap-in	スナップイン
snapping	プッツン
snapshot	スナップ
snatch	スナッチ
sneaker	スニーカー
sneeze	チーン
sniff	クンクン
sniffer	スニファ
sniper	スナイパー
snob	スノッブ
snobbism	スノビズム
snooker	スヌーカー
snoopy	スヌーピー
snoring	グーグー
snorkel	シュノーケル
snorkeling	シュノーケリング
snow	スノー
snow-flower	マツユキソウ
snowboard	スノーボード
snowboarding	スノーボーディング
snowbridge	スノーブリッジ
snowdrop	スノードロップ
snowflake	スノーフレーク
snowplough	プルークボーゲン
snowplow	プルークボーゲン
snuff	スナッフ
so	ソ
so-and-so	カントカ
so-so	ボチボチ
soaking	ソーキング
soap	シャボン
soarer	ソアラ
soaring	ソアリング
soccer	アソシエーションフットボール
social	コンパ
socialism	ソーシャリズム
socialist	ソーシャリスト
sociality	ツキ
socialization	ソーシャリゼーション
society	ゲゼルシャフト
sociobiology	ソシオバイオロジー
socioeconomics	ソシオエコノミックス
sociogram	ソシオグラム
sociology	ソシオロジー
sociometry	ソシオメトリー
socket	ソケット
socks	ソックス
soda	ソーダ
sodium	ソジウム
sodomy	ソドミー
sofa	ソファ
sofa-bed	ソファーベッド
sofabed	ソファーベッド
soft	ソフト
soft-cover	ソフトカバー
softball	ソフトボール
software	ソフト
software-stack	ソフトウェアスタック
soggy	グシャグシャ
soh	ソ
soiree	ソワレ
soixante-neuf	シックスナイン
solanin	ソラニン
solar	ソーラー
solaria	ソラリア
solarium	ソラリアム
solarization	ソラリゼーション
soldering	ソルダーリング
soldier	ソルジャー
soldum	ソルダム
sole	シタビラメ
solenoid	ソレノイド
solid	ソリッド
solid-state	ソリッドステート
solidarity	ソリダリティー
soliton	ソリトン
solo	ソロ
soloist	ソリスト
solpugid	ヒヨケムシ
solution	ソリューション
solver	ソルバー
soma	ソーマ
somatostatin	ソマトスタチン
somatotropin	ソマトトロピン
sombrero	ソンブレロ
something	カントカ
somewhat	エトワス
sommelier	ソムリエ
sonagram	ソナグラム
sonar	ソーナー
sonata	ソナタ
sonatina	ソナチネ
sonde	ゾンデ
song	ソング
sonic	ソニック
sonnet	ソネット
sonobuoy	ソノブイ
sonograph	ソノグラフ
sonority	ソノリティ
soon	ボチボチ
sophist	ソフィスト
sophistication	ソフィスティケーション
soprano	ソプラノ
sorbaria	チンシバイ
sorbet	ソルベ
sorbitol	ソルビトール
sorcerer	ソーサラー
sorghum	ソーガム
sorgo	ソルゴー
soroptimist	ソロプチミスト
sororate	ソロレート
sorority	クラブ
sorry	サーセン
sort	ソート
sorter	ソーター
sortie	ソーティー
sorting	ソーティング
sostenuto	ソステヌート
sou	スー
souffle	スフレ
soul	ソウル
sound	サウンド
soundbody	サウンドボディー
sounding	サウンディング
soundly	グースカ
soundscape	サウンドスケープ
soundtrack	サウンドトラック
soup	スープ
soupspoon	スープスプーン
sour	サワー
source	ソース
source-code	ソースコード
sourcing	ソーシング
sourdough	サワードウ
souring	ギクシャク
sousaphone	スーザフォーン
soutane	スータン
southpaw	サウスポー
souvenir	スーブニール
spa	スパ
space	スペース
spacecraft	スペースクラフト
spaceman	スペースマン
spacer	スペーサ
spacing	スペーシング
spade	スコップ
spaetzle	シュペッツレ
spaghetti	スパ
spaghettini	スパゲッティーニ
spam	スパム
spamblock	スパムブロック
spamming	スパミング
span	スパン
spandex	スパンデックス
spangle	クロアゲハ
spaniel	スパニエル
spanner	スパナ
spanning	スパニング
spar	スパー
spare	スペア
spark	スパーク
sparkle	キラキラ
sparrer	スパーラ
sparring	スパーリング
spasm	スパズム
spat	ゲートル
spats	ゲートル
spatula	スパーテル
speak	スピーク
speaker	スピーカ
speakerphone	スピーカーホン
speaking	スピーキング
spear	スピア
spearmint	スペアミント
special	スペシャル
specialist	スペシャリスト
specification	スペック
spectacle	スペクタクル
specter	スペクター
spectra	スペクトル
spectral	スペクトル
spectre	スペクター
spectrogram	スペクトログラム
spectrograph	スペクトログラフ
spectrometer	スペクトロメーター
spectrum	スペクトラム
speculation	スペキュレーション
speculator	スペキュレーター
speech	スピーチ
speechwriter	スピーチライター
speed	シャブ
speed-gun	スピードガン
speedboat	スピードボート
speedometer	スピードメーター
speedway	スピードウエー
speedy	スピーディ
spellcheck	スペルチェック
spelling	スペリング
spelunker	スペランカー
sperm	カルピス
sphagnum	ミズゴケ
spherometer	スフェロメーター
spiccato	スピッカート
spice	スパイス
spicy	スパイシー
spider	スパイダ
spigot	コック
spike	スパイク
spiker	スパイカー
spillover	スピルオーバー
spin	スピン
spin-glass	スピングラス
spin-in	スピンイン
spin-off	スピンオフ
spindle	スピンドル
spinel	スピネル
spinet	スピネット
spinnaker	スピネーカー
spinner	スピナー
spinoff	スピンオフ
spinor	スピノル
spiral	スパイラル
spirit	エスプリ
spirits	スピリッツ
spiritual	スピリチュアル
spiritualism	スピリチュアリズム
spirogyra	アオミドロ
spirometer	スパイロメーター
spirula	スピルラ
spitball	スピットボール
spittlebug	アワフキムシ
splash	スプラッシュ
splasher	スプラッシャー
splice	スプライス
splicer	スプライサー
splicing	スプライシング
spline	スプライン
splint	スプリント
splish-splash	チャプチャプ
split	スプリット
splitter	スプリッター
spoil	スポイル
spoiler	スポイラー
spoke	スポーク
spokesman	スポークスマン
spokesperson	スポークスパーソン
spokeswoman	スポークスウーマン
sponge	シフォンケーキ
sponsor	スポンサ
spooky	オカルティック
spool	スプール
spooler	スプーラ
spooling	スプーリング
spoon	スプーン
spoon-feeding	スプーンフィーディング
spoonworm	ユムシ
sport	スポーツ
sports	スポーツ
sportscaster	スポーツキャスター
sportsman	スポーツマン
sportsmanship	スポーツマンシップ
sportswear	スポーツウェア
sportswoman	スポーツウーマン
sportswriter	スポーツライター
sporty	スポーティー
spot	スパット
spotlight	スポット
sprawl	スプロール
spray	スプレー
spray-dry	スプレードライ
sprayer	スプレーヤー
spread	スプレッド
spreadsheet	カルク
spring	コシ
springboard	スプリングボード
springtime	プランタン
springy	シコシコ
sprinkler	スプリンクラー
sprint	スプリント
sprinter	スプリンター
sprite	スプライト
sprocket	スプロケット
spruce	スプルース
spurt	スパート
spy	スパイ
spyware	スパイウェア
squalene	スクアレン
squall	スコール
square	スクウェア
squark	スクォーク
squash	スカッシュ
squashed	ペッタンコ
squat	スクワット
squatter	スクワッター
squawker	スコーカー
squeak	キィキィ
squealing	ブヒブヒ
squeeze	スクイズ
squeezer	スクイーザー
squeezing	ムギュウ
squid	スクイッド
squint	ロンパリ
squirming	モジモジ
squirrel	リス
stabiliser	スタビライザー
stability	スタビリティー
stabilizer	スタビライザー
stabilizing	ヨコバイ
staccato	スタッカート
stack	スタック
stack-object	スタックオブジェクト
stack-pointer	スタックポインタ
stacker	ステッカー
stackware	スタックウェア
stadium	スタジアム
staff	スタッフ
stage	ステージ
stagflation	スタグフレーション
stagger	フラフラ
stagnation	スタグネーション
stainless	ステンレス
stakeholder	ステークホルダー
stakeholders	ステークホルダー
stakes	ステークス
stalemate	ステイルメイト
stalker	ストーカー
stalking	ストーキング
stall	ストール
stallion	スタリオン
stamina	スタミナ
stamp	スタンプ
stance	スタンス
stand	スタンド
stand-in	スタンドイン
standalone	スタンドアローン
standard	スタンダード
standards	スタンダーズ
standby	スタンバイ
standing	ランク
standoff	カシメ
standpoint	スタンドポイント
stanza	スタンザ
stapelia	スタペリア
staple	ステープル
stapler	ステープラー
star	エトワール
starboard	スターボード
starch	スターチ
stardom	スターダム
stardust	スターダスト
starfish	ヒトデ
staring	ギョロリ
starlet	スターレット
starlight	スターライト
starling	ムクドリ
start	クランクイン
starter	スターター
starting	スターティング
startup	スタートアップ
state	ステイト
stateless	ステートレス
statement	ステートメント
statesman	ステーツマン
statesmanship	ステーツマンシップ
stateswoman	ステーツウーマン
static	スタチック
statice	スターチス
staticizer	スタティサイダ
station	ステーション
stationery	ステーショナリー
statistics	スタティスティックス
stator	ステーター
statue	スタチュー
status	ステイタス
stay	ステイ
stayer	ステイヤー
stayover	ホームパーティー
steadily	コツコツ
steady	ステディ
steak	ステーキ
steakhouse	ステーキハウス
steal	スチール
stealth	ステルス
steam	スチーム
steampipe	スチームパイプ
steapsin	ステアプシン
stearin	ステアリン
steel	スチール
steelhead	スチールヘッド
steeplechase	スティープルチェイス
stein	ジョッキ
stela	ステラ
stem	ステム
stencil	ステンシル
stenographer	ステノグラファー
stenography	ステノグラフィー
stent	ステント
step	ステップ
step-by-step	ステップバイステップ
stepfamily	ステップファミリー
steppe	ステップ
stepper	ステッパー
stepping	ステッピング
steps	ステップス
stepwise	ステップワイズ
steradian	ステラジアン
stereo	ステレオ
stereogram	ステレオグラム
stereophonic	ステレオフォニック
stereoscope	ステレオスコープ
stereotape	ステレオテープ
stereotype	ステレオタイプ
stereovision	ステレオビジョン
sterling	スターリング
stern	イカチー
steroid	ステロイド
sterol	ステロール
stevia	ステビア
stew	シチュー
steward	スチュワード
stewardess	エアガール
stick	スティック
sticker	シール
stickleback	サヨリ
stigma	スティグマ
stilb	スチルブ
stiletto	ピンヒール
still	スチール
stillage	カードル
stilt	セイタカシギ
stiltedness	ギクシャク
stimulant	シャブ
sting	スティング
stingaree	スティングレイ
stinger	スティンガー
stingray	エイ
stingy	ケチケチ
stitch	スティッチ
stoa	ストア
stoat	オコジョ
stock	インベントリ
stockbroker	ストックブローカー
stocker	ストッカー
stockholder	ストックホルダー
stockings	ストッキング
stockyard	ストックヤード
stodgy	ポテポテ
stoicism	ストイシズム
stole	ストール
stolen	ストールン
stolon	ストロン
stomach	ストマック
stone	ストーン
stonecrop	マンネングサ
stonefly	カワゲラ
stonewashed	ストーンウオッシュ
stool	スツール
stop	ストップ
stoplight	ストップライト
stopover	ストップオーバー
stopper	ストッパー
stopwatch	ストップウォッチ
storage	ストレージ
store	ストア
stork	コウノトリ
storm	ストーム
stormcock	ヤドリギツグミ
story	ストーリ
storyboard	ストーリボード
stout	スタウト
stove	ストーヴ
straight	ストレート
strain	ギクシャク
strainer	ストレーナー
strangeness	ストレンジネス
stranger	エトランゼ
strap	ストラップ
strapless	ストラップレス
strategy	ストラテジー
straw	ストロー
strawberry	イチゴ
streaker	ストリーカー
streaking	ストリーキング
stream	ストリーム
streamer	ストリーマ
streaming	ストリーミング
streamline	ストリームライン
street	ストリート
streetcar	ストリートカー
streetwalker	ストリートウォーカー
strength	ストレングス
streptocarpus	ストレプトカーパス
streptomycin	ストマイ
stress	ストレス
stressor	ストレッサー
stretch	ストレッチ
stretcher	ストレッチャー
stretching	ストレッチング
stride	ストライド
strike	スト
strikeout	ストラックアウト
striker	ストライカー
string	ストリング
strings	ストリングス
strip	ストリップ
strip-searching	ボディーチェック
stripe	ストライプ
striping	ストライピング
striplight	ストリップライト
stripper	ストリッパー
striptease	ストリップショー
strobe	ストローブ
stroboscope	ストロボ
stroke	ストローク
stroller	ベビーカー
stroma	ストロマ
stromatolite	ストロマトライト
strong	ストロング
strontium	ストロンチウム
strop	ストロップ
strophanthin	ストロファンチン
strophulus	ストロフルス
structure	ストラクチャ
struggle	ストラッグル
strychnine	ストリキニーネ
stub	スタブ
stucco	スタッコ
stuck	スタック
stud	スタッド
student	スチューデント
studio	アトリエ
study	スタディ
stuff	スタッフ
stump	スタンプ
stun	スタン
stunt	スタント
stunts	スタンツ
stupid	ズッコケ
style	アロマ
stylebook	スタイルブック
stylesheet	スタイルシート
styling	スタイリング
stylish	オシャレ
stylist	スタイリスト
stylus	スタイラス
stymie	スタイミー
styracosaurus	スティラコサウルス
styrene	スチレン
sub	サブ
sub-address	サブアド
sub-channel	サブチャネル
sub-economiser	スブエコ
sub-economizer	スブエコ
sub-goal	サブゴール
sub-graph	サブグラフ
sub-menu	サブメニュー
sub-network	サブネットワーク
